產品編號,區域編號,訂購日期,銷售數量,單價,銷售金額,銷售成本
365,290,2019/1/12,1,"$6,480","$6,480","$5,508 "
470,5,2019/1/15,45,$209,"$9,405","$7,994 "
469,4,2019/1/15,1,$228,$228,$194 
365,6,2019/1/15,15,"$6,480","$97,200","$82,620 "
365,261,2019/1/15,4,"$6,480","$25,920","$22,032 "
364,7,2019/1/15,1,"$6,480","$6,480","$5,508 "
468,262,2019/1/16,150,$228,"$34,200","$29,070 "
470,274,2019/1/16,2,$228,$456,$388 
469,274,2019/1/16,250,$228,"$57,000","$48,450 "
470,2,2019/1/16,30,$228,"$6,840","$5,814 "
447,2,2019/1/16,5,$150,$750,$638 
448,2,2019/1/16,6,$120,$720,$612 
364,2,2019/1/16,135,"$6,480","$874,800","$743,580 "
365,274,2019/1/16,2,"$6,480","$12,960","$11,016 "
365,2,2019/1/16,2,"$6,480","$12,960","$11,016 "
447,271,2019/1/17,300,$150,"$45,000","$38,250 "
448,271,2019/1/17,250,$120,"$30,000","$25,500 "
448,123,2019/1/18,100,$120,"$12,000","$10,200 "
447,123,2019/1/18,250,$150,"$37,500","$31,875 "
448,112,2019/1/19,150,$120,"$18,000","$15,300 "
447,112,2019/1/19,150,$150,"$22,500","$19,125 "
448,138,2019/1/20,150,$120,"$18,000","$15,300 "
447,138,2019/1/20,350,$150,"$52,500","$44,625 "
448,258,2019/1/20,350,$120,"$42,000","$35,700 "
447,258,2019/1/20,250,$150,"$37,500","$31,875 "
470,294,2019/1/20,24,$209,"$5,016","$4,264 "
469,4,2019/1/20,90,$228,"$20,520","$17,442 "
470,3,2019/1/20,28,$190,"$5,320","$4,522 "
470,11,2019/1/20,2,$228,$456,$388 
364,10,2019/1/20,10,"$6,480","$64,800","$55,080 "
365,294,2019/1/20,5,"$6,480","$32,400","$27,540 "
364,294,2019/1/20,4,"$6,480","$25,920","$22,032 "
365,1,2019/1/20,3,"$6,480","$19,440","$16,524 "
364,2,2019/1/20,1,"$6,480","$6,480","$5,508 "
469,12,2019/1/21,45,$228,"$10,260","$8,721 "
468,12,2019/1/21,30,$228,"$6,840","$5,814 "
470,12,2019/1/21,2,$228,$456,$388 
469,285,2019/1/22,30,$228,"$6,840","$5,814 "
470,285,2019/1/22,6,$228,"$1,368","$1,163 "
365,285,2019/1/22,1,"$6,480","$6,480","$5,508 "
468,136,2019/1/25,6,$228,"$1,368","$1,163 "
470,136,2019/1/25,2,$228,$456,$388 
470,7,2019/1/25,45,$228,"$10,260","$8,721 "
448,7,2019/1/25,15,$120,"$1,800","$1,530 "
469,7,2019/1/25,6,$228,"$1,368","$1,163 "
364,7,2019/1/25,200,"$6,480","$1,296,000","$1,101,600 "
365,7,2019/1/25,2,"$6,480","$12,960","$11,016 "
448,7,2019/1/28,150,$120,"$18,000","$15,300 "
447,7,2019/1/28,100,$150,"$15,000","$12,750 "
448,12,2019/1/30,250,$120,"$30,000","$25,500 "
447,12,2019/1/30,100,$150,"$15,000","$12,750 "
469,125,2019/2/1,30,$228,"$6,840","$5,814 "
468,125,2019/2/1,75,$228,"$17,100","$14,535 "
470,125,2019/2/1,4,$228,$912,$775 
469,271,2019/2/1,45,$228,"$10,260","$8,721 "
468,271,2019/2/1,3,$228,$684,$581 
470,271,2019/2/1,2,$228,$456,$388 
469,4,2019/2/1,15,$228,"$3,420","$2,907 "
470,4,2019/2/1,6,$228,"$1,368","$1,163 "
365,4,2019/2/1,30,"$6,480","$194,400","$165,240 "
468,271,2019/2/2,15,$228,"$3,420","$2,907 "
469,271,2019/2/2,75,$228,"$17,100","$14,535 "
448,258,2019/2/3,50,$120,"$6,000","$5,100 "
447,258,2019/2/3,250,$150,"$37,500","$31,875 "
470,258,2019/2/3,12,$220,"$2,640","$2,244 "
469,258,2019/2/3,120,$228,"$27,360","$23,256 "
469,2,2019/2/3,60,$228,"$13,680","$11,628 "
470,1,2019/2/3,2,$228,$456,$388 
364,258,2019/2/3,2,"$6,480","$12,960","$11,016 "
365,258,2019/2/3,1,"$6,480","$6,480","$5,508 "
468,257,2019/2/4,15,$228,"$3,420","$2,907 "
470,258,2019/2/4,15,$228,"$3,420","$2,907 "
469,258,2019/2/4,200,$228,"$45,600","$38,760 "
468,258,2019/2/4,150,$228,"$34,200","$29,070 "
447,12,2019/2/4,15,$150,"$2,250","$1,913 "
448,12,2019/2/4,2,$120,$240,$204 
469,113,2019/2/5,4,$228,$912,$775 
468,113,2019/2/5,2,$228,$456,$388 
470,113,2019/2/5,20,$228,"$4,560","$3,876 "
469,260,2019/2/5,2,$228,$456,$388 
470,260,2019/2/5,45,$228,"$10,260","$8,721 "
470,285,2019/2/5,100,$209,"$20,900","$17,765 "
469,285,2019/2/5,2,$228,$456,$388 
470,4,2019/2/5,45,$228,"$10,260","$8,721 "
447,4,2019/2/5,15,$150,"$2,250","$1,913 "
448,4,2019/2/5,15,$120,"$1,800","$1,530 "
364,285,2019/2/5,100,"$6,480","$648,000","$550,800 "
365,4,2019/2/5,6,"$6,480","$38,880","$33,048 "
365,285,2019/2/5,4,"$6,480","$25,920","$22,032 "
365,270,2019/2/5,3,"$6,480","$19,440","$16,524 "
448,287,2019/2/6,150,$120,"$18,000","$15,300 "
447,287,2019/2/6,150,$150,"$22,500","$19,125 "
447,9,2019/2/6,150,$150,"$22,500","$19,125 "
448,9,2019/2/6,100,$120,"$12,000","$10,200 "
365,279,2019/2/7,1,"$6,480","$6,480","$5,508 "
469,140,2019/2/8,45,$228,"$10,260","$8,721 "
470,140,2019/2/8,2,$228,$456,$388 
468,140,2019/2/8,45,$228,"$10,260","$8,721 "
365,257,2019/2/8,3,"$6,480","$19,440","$16,524 "
364,257,2019/2/8,1,"$6,480","$6,480","$5,508 "
469,8,2019/2/9,90,$228,"$20,520","$17,442 "
469,6,2019/2/9,15,$228,"$3,420","$2,907 "
470,9,2019/2/9,5,$228,"$1,140",$969 
470,6,2019/2/9,3,$228,$684,$581 
364,7,2019/2/9,3,"$6,480","$19,440","$16,524 "
365,6,2019/2/9,1,"$6,480","$6,480","$5,508 "
364,6,2019/2/9,1,"$6,480","$6,480","$5,508 "
470,286,2019/2/10,6,$228,"$1,368","$1,163 "
468,286,2019/2/10,15,$228,"$3,420","$2,907 "
469,120,2019/2/11,30,$228,"$6,840","$5,814 "
448,120,2019/2/11,150,$120,"$18,000","$15,300 "
447,120,2019/2/11,200,$150,"$30,000","$25,500 "
470,281,2019/2/11,2,$228,$456,$388 
365,120,2019/2/11,3,"$6,480","$19,440","$16,524 "
364,120,2019/2/11,2,"$6,480","$12,960","$11,016 "
364,281,2019/2/11,1,"$6,480","$6,480","$5,508 "
470,289,2019/2/12,45,$228,"$10,260","$8,721 "
469,289,2019/2/12,4,$228,$912,$775 
469,292,2019/2/12,45,$228,"$10,260","$8,721 "
470,292,2019/2/12,300,$228,"$68,400","$58,140 "
468,292,2019/2/12,100,$228,"$22,800","$19,380 "
447,3,2019/2/12,11,$150,"$1,650","$1,403 "
448,3,2019/2/12,13,$120,"$1,560","$1,326 "
365,140,2019/2/12,15,"$6,264","$93,960","$79,866 "
364,140,2019/2/12,2,"$6,264","$12,528","$10,649 "
448,5,2019/2/13,300,$120,"$36,000","$30,600 "
447,5,2019/2/13,50,$150,"$7,500","$6,375 "
469,5,2019/2/13,30,$228,"$6,840","$5,814 "
365,5,2019/2/13,2,"$6,480","$12,960","$11,016 "
469,5,2019/2/15,15,$228,"$3,420","$2,907 "
470,5,2019/2/15,4,$228,$912,$775 
365,5,2019/2/15,2,"$6,480","$12,960","$11,016 "
364,5,2019/2/15,1,"$6,480","$6,480","$5,508 "
470,116,2019/2/16,4,$228,$912,$775 
469,116,2019/2/16,15,$228,"$3,420","$2,907 "
468,116,2019/2/16,15,$228,"$3,420","$2,907 "
470,117,2019/2/16,10,$228,"$2,280","$1,938 "
469,117,2019/2/16,150,$228,"$34,200","$29,070 "
447,257,2019/2/16,150,$150,"$22,500","$19,125 "
470,257,2019/2/16,6,$228,"$1,368","$1,163 "
469,257,2019/2/16,15,$228,"$3,420","$2,907 "
448,257,2019/2/16,50,$120,"$6,000","$5,100 "
364,117,2019/2/16,4,"$6,480","$25,920","$22,032 "
364,257,2019/2/16,1,"$6,480","$6,480","$5,508 "
470,283,2019/2/17,250,$228,"$57,000","$48,450 "
469,283,2019/2/17,200,$228,"$45,600","$38,760 "
447,4,2019/2/17,3,$150,$450,$383 
448,4,2019/2/17,1,$120,$120,$102 
364,283,2019/2/17,45,"$6,480","$291,600","$247,860 "
365,283,2019/2/17,6,"$6,480","$38,880","$33,048 "
470,124,2019/2/18,2,$228,$456,$388 
469,124,2019/2/18,15,$228,"$3,420","$2,907 "
470,261,2019/2/18,2,$228,$456,$388 
468,261,2019/2/18,15,$228,"$3,420","$2,907 "
469,261,2019/2/18,15,$228,"$3,420","$2,907 "
365,289,2019/2/20,135,"$6,480","$874,800","$743,580 "
469,289,2019/2/20,1,$228,$228,$194 
470,289,2019/2/20,1,$228,$228,$194 
470,6,2019/2/20,45,$228,"$10,260","$8,721 "
469,6,2019/2/20,2,$228,$456,$388 
365,6,2019/2/20,5,"$6,480","$32,400","$27,540 "
364,6,2019/2/20,1,"$6,480","$6,480","$5,508 "
447,4,2019/2/21,200,$150,"$30,000","$25,500 "
448,5,2019/2/21,200,$120,"$24,000","$20,400 "
469,12,2019/2/21,30,$228,"$6,840","$5,814 "
470,2,2019/2/21,6,$228,"$1,368","$1,163 "
364,3,2019/2/21,3,"$6,480","$19,440","$16,524 "
365,1,2019/2/21,1,"$6,480","$6,480","$5,508 "
470,273,2019/2/22,15,$209,"$3,135","$2,665 "
469,273,2019/2/22,105,$228,"$23,940","$20,349 "
365,273,2019/2/22,6,"$6,480","$38,880","$33,048 "
364,273,2019/2/22,4,"$6,480","$25,920","$22,032 "
469,8,2019/2/23,45,$228,"$10,260","$8,721 "
470,8,2019/2/23,2,$228,$456,$388 
447,113,2019/2/24,150,$150,"$22,500","$19,125 "
469,282,2019/2/24,90,$228,"$20,520","$17,442 "
470,282,2019/2/24,9,$228,"$2,052","$1,744 "
365,282,2019/2/24,4,"$6,480","$25,920","$22,032 "
364,282,2019/2/24,4,"$6,480","$25,920","$22,032 "
365,259,2019/2/25,150,"$6,480","$972,000","$826,200 "
469,135,2019/2/25,4,$228,$912,$775 
468,135,2019/2/25,200,$228,"$45,600","$38,760 "
470,135,2019/2/25,2,$228,$456,$388 
448,259,2019/2/25,45,$120,"$5,400","$4,590 "
469,259,2019/2/25,2,$228,$456,$388 
447,259,2019/2/25,20,$150,"$3,000","$2,550 "
470,259,2019/2/25,180,$228,"$41,040","$34,884 "
470,272,2019/2/25,5,$209,"$1,045",$888 
469,272,2019/2/25,9,$220,"$1,980","$1,683 "
470,277,2019/2/25,1,$228,$228,$194 
469,277,2019/2/25,90,$228,"$20,520","$17,442 "
469,286,2019/2/25,2,$228,$456,$388 
470,286,2019/2/25,15,$209,"$3,135","$2,665 "
470,4,2019/2/25,15,$228,"$3,420","$2,907 "
469,4,2019/2/25,15,$228,"$3,420","$2,907 "
365,272,2019/2/25,60,"$6,480","$388,800","$330,480 "
364,277,2019/2/25,15,"$6,480","$97,200","$82,620 "
364,272,2019/2/25,6,"$6,480","$38,880","$33,048 "
447,116,2019/2/26,150,$150,"$22,500","$19,125 "
448,116,2019/2/26,200,$120,"$24,000","$20,400 "
469,1,2019/2/26,285,$209,"$59,565","$50,630 "
470,3,2019/2/26,24,$209,"$5,016","$4,264 "
364,2,2019/2/26,2,"$6,480","$12,960","$11,016 "
365,4,2019/2/26,2,"$6,480","$12,960","$11,016 "
469,288,2019/2/27,2,$228,$456,$388 
468,288,2019/2/27,45,$228,"$10,260","$8,721 "
470,288,2019/2/27,8,$228,"$1,824","$1,550 "
469,8,2019/2/27,45,$228,"$10,260","$8,721 "
468,10,2019/2/27,30,$228,"$6,840","$5,814 "
470,9,2019/2/27,15,$228,"$3,420","$2,907 "
470,116,2019/2/28,195,$209,"$40,755","$34,642 "
469,116,2019/2/28,1,$220,$220,$187 
365,116,2019/2/28,20,"$6,480","$129,600","$110,160 "
364,2,2019/2/28,3,"$6,480","$19,440","$16,524 "
364,116,2019/2/28,2,"$6,480","$12,960","$11,016 "
470,266,2019/3/1,2,$228,$456,$388 
470,269,2019/3/1,2,$228,$456,$388 
468,277,2019/3/2,60,$228,"$13,680","$11,628 "
470,277,2019/3/2,2,$228,$456,$388 
469,280,2019/3/2,105,$228,"$23,940","$20,349 "
365,280,2019/3/2,6,"$6,480","$38,880","$33,048 "
364,280,2019/3/2,1,"$6,480","$6,480","$5,508 "
468,267,2019/3/5,15,$228,"$3,420","$2,907 "
469,267,2019/3/5,15,$228,"$3,420","$2,907 "
470,122,2019/3/6,6,$228,"$1,368","$1,163 "
469,122,2019/3/6,15,$228,"$3,420","$2,907 "
468,122,2019/3/6,15,$228,"$3,420","$2,907 "
470,261,2019/3/6,2,$228,$456,$388 
447,261,2019/3/6,100,$150,"$15,000","$12,750 "
448,261,2019/3/6,200,$120,"$24,000","$20,400 "
469,261,2019/3/6,30,$228,"$6,840","$5,814 "
364,261,2019/3/6,6,"$6,480","$38,880","$33,048 "
365,261,2019/3/6,1,"$6,480","$6,480","$5,508 "
468,270,2019/3/7,15,$228,"$3,420","$2,907 "
364,112,2019/3/8,90,"$6,480","$583,200","$495,720 "
469,112,2019/3/8,5,$228,"$1,140",$969 
470,112,2019/3/8,2,$228,$456,$388 
470,125,2019/3/8,45,$228,"$10,260","$8,721 "
469,125,2019/3/8,3,$228,$684,$581 
365,125,2019/3/8,8,"$6,480","$51,840","$44,064 "
365,112,2019/3/8,7,"$6,480","$45,360","$38,556 "
364,3,2019/3/8,7,"$6,480","$45,360","$38,556 "
364,125,2019/3/8,2,"$6,480","$12,960","$11,016 "
447,115,2019/3/9,100,$150,"$15,000","$12,750 "
448,115,2019/3/9,250,$120,"$30,000","$25,500 "
469,5,2019/3/9,15,$228,"$3,420","$2,907 "
365,6,2019/3/9,1,"$6,480","$6,480","$5,508 "
447,122,2019/3/10,400,$150,"$60,000","$51,000 "
448,122,2019/3/10,300,$120,"$36,000","$30,600 "
470,122,2019/3/10,6,$228,"$1,368","$1,163 "
469,122,2019/3/10,60,$228,"$13,680","$11,628 "
448,10,2019/3/10,250,$120,"$30,000","$25,500 "
447,10,2019/3/10,50,$150,"$7,500","$6,375 "
365,122,2019/3/10,1,"$6,480","$6,480","$5,508 "
448,118,2019/3/11,300,$120,"$36,000","$30,600 "
469,118,2019/3/11,30,$228,"$6,840","$5,814 "
447,118,2019/3/11,250,$150,"$37,500","$31,875 "
470,118,2019/3/11,4,$228,$912,$775 
468,272,2019/3/11,15,$228,"$3,420","$2,907 "
470,272,2019/3/11,2,$228,$456,$388 
469,272,2019/3/11,15,$228,"$3,420","$2,907 "
470,294,2019/3/11,6,$228,"$1,368","$1,163 "
365,118,2019/3/11,3,"$6,480","$19,440","$16,524 "
364,118,2019/3/11,1,"$6,480","$6,480","$5,508 "
470,281,2019/3/12,2,$228,$456,$388 
469,281,2019/3/12,45,$228,"$10,260","$8,721 "
468,281,2019/3/12,15,$228,"$3,420","$2,907 "
469,264,2019/3/13,16,$228,"$3,648","$3,101 "
470,264,2019/3/13,450,$209,"$94,050","$79,943 "
468,264,2019/3/13,400,$228,"$91,200","$77,520 "
469,1,2019/3/13,10,$228,"$2,280","$1,938 "
470,12,2019/3/13,75,$228,"$17,100","$14,535 "
447,6,2019/3/13,2,$150,$300,$255 
448,6,2019/3/13,1,$120,$120,$102 
364,11,2019/3/13,90,"$6,480","$583,200","$495,720 "
365,10,2019/3/13,45,"$6,480","$291,600","$247,860 "
470,124,2019/3/15,15,$209,"$3,135","$2,665 "
469,124,2019/3/15,45,$228,"$10,260","$8,721 "
364,124,2019/3/15,2,"$6,480","$12,960","$11,016 "
365,275,2019/3/16,100,"$6,480","$648,000","$550,800 "
447,259,2019/3/16,3,$150,$450,$383 
448,259,2019/3/16,150,$120,"$18,000","$15,300 "
469,275,2019/3/16,2,$228,$456,$388 
470,9,2019/3/16,250,$220,"$55,000","$46,750 "
469,9,2019/3/16,150,$228,"$34,200","$29,070 "
447,9,2019/3/16,75,$150,"$11,250","$9,563 "
448,9,2019/3/16,90,$120,"$10,800","$9,180 "
364,9,2019/3/16,14,"$6,480","$90,720","$77,112 "
365,9,2019/3/16,3,"$6,480","$19,440","$16,524 "
469,119,2019/3/17,15,$228,"$3,420","$2,907 "
469,269,2019/3/17,45,$228,"$10,260","$8,721 "
470,269,2019/3/17,2,$228,$456,$388 
469,10,2019/3/18,90,$228,"$20,520","$17,442 "
365,10,2019/3/18,1,"$6,480","$6,480","$5,508 "
470,137,2019/3/20,14,$220,"$3,080","$2,618 "
469,137,2019/3/20,45,$228,"$10,260","$8,721 "
469,258,2019/3/20,45,$228,"$10,260","$8,721 "
364,258,2019/3/20,3,"$6,480","$19,440","$16,524 "
364,137,2019/3/20,2,"$6,480","$12,960","$11,016 "
365,258,2019/3/20,1,"$6,480","$6,480","$5,508 "
469,6,2019/3/21,30,$228,"$6,840","$5,814 "
469,1,2019/3/21,15,$228,"$3,420","$2,907 "
470,6,2019/3/21,2,$228,$456,$388 
364,6,2019/3/21,3,"$6,480","$19,440","$16,524 "
365,6,2019/3/21,1,"$6,480","$6,480","$5,508 "
468,276,2019/3/22,15,$228,"$3,420","$2,907 "
470,276,2019/3/22,150,$228,"$34,200","$29,070 "
469,276,2019/3/22,100,$228,"$22,800","$19,380 "
447,8,2019/3/22,45,$150,"$6,750","$5,738 "
448,8,2019/3/22,2,$120,$240,$204 
364,8,2019/3/23,25,"$6,480","$162,000","$137,700 "
448,121,2019/3/23,400,$120,"$48,000","$40,800 "
447,121,2019/3/23,4,$150,$600,$510 
470,8,2019/3/23,60,$228,"$13,680","$11,628 "
468,6,2019/3/23,60,$228,"$13,680","$11,628 "
469,7,2019/3/23,60,$228,"$13,680","$11,628 "
469,8,2019/3/23,3,$228,$684,$581 
470,5,2019/3/23,2,$228,$456,$388 
364,125,2019/3/23,2,"$6,480","$12,960","$11,016 "
365,8,2019/3/23,1,"$6,480","$6,480","$5,508 "
470,1,2019/3/25,3,$228,$684,$581 
364,12,2019/3/25,9,"$6,480","$58,320","$49,572 "
365,11,2019/3/25,1,"$6,480","$6,480","$5,508 "
469,121,2019/3/26,135,$228,"$30,780","$26,163 "
364,121,2019/3/26,6,"$6,480","$38,880","$33,048 "
365,121,2019/3/26,3,"$6,480","$19,440","$16,524 "
447,11,2019/3/28,200,$150,"$30,000","$25,500 "
448,11,2019/3/28,150,$120,"$18,000","$15,300 "
469,11,2019/3/28,15,$228,"$3,420","$2,907 "
470,11,2019/3/28,4,$228,$912,$775 
364,11,2019/3/28,2,"$6,480","$12,960","$11,016 "
365,11,2019/3/28,1,"$6,480","$6,480","$5,508 "
469,263,2019/3/29,8,$228,"$1,824","$1,550 "
468,263,2019/3/29,1,$228,$228,$194 
447,1,2019/3/29,200,$150,"$30,000","$25,500 "
448,1,2019/3/29,100,$120,"$12,000","$10,200 "
469,5,2019/3/29,15,$228,"$3,420","$2,907 "
470,5,2019/3/29,1,$228,$228,$194 
365,5,2019/3/29,45,"$6,480","$291,600","$247,860 "
364,5,2019/3/29,15,"$6,480","$97,200","$82,620 "
469,264,2019/3/30,60,$228,"$13,680","$11,628 "
470,264,2019/3/30,6,$228,"$1,368","$1,163 "
468,291,2019/3/30,45,$228,"$10,260","$8,721 "
365,264,2019/3/30,2,"$6,480","$12,960","$11,016 "
364,264,2019/3/30,1,"$6,480","$6,480","$5,508 "
470,283,2019/3/31,4,$228,$912,$775 
469,283,2019/3/31,15,$228,"$3,420","$2,907 "
470,135,2019/4/1,6,$228,"$1,368","$1,163 "
448,135,2019/4/1,150,$120,"$18,000","$15,300 "
447,135,2019/4/1,300,$150,"$45,000","$38,250 "
469,135,2019/4/1,135,$228,"$30,780","$26,163 "
364,7,2019/4/3,200,"$6,480","$1,296,000","$1,101,600 "
469,3,2019/4/3,180,$220,"$39,600","$33,660 "
447,8,2019/4/3,240,$150,"$36,000","$30,600 "
469,5,2019/4/3,150,$209,"$31,350","$26,648 "
468,2,2019/4/3,30,$228,"$6,840","$5,814 "
448,7,2019/4/3,19,$120,"$2,280","$1,938 "
470,5,2019/4/3,3,$209,$627,$533 
470,3,2019/4/3,2,$228,$456,$388 
468,4,2019/4/3,1,$228,$228,$194 
365,6,2019/4/3,30,"$6,480","$194,400","$165,240 "
364,4,2019/4/3,7,"$6,480","$45,360","$38,556 "
365,6,2019/4/3,2,"$6,480","$12,960","$11,016 "
448,271,2019/4/5,200,$120,"$24,000","$20,400 "
447,271,2019/4/5,250,$150,"$37,500","$31,875 "
448,279,2019/4/5,50,$120,"$6,000","$5,100 "
447,10,2019/4/5,200,$150,"$30,000","$25,500 "
447,2,2019/4/5,100,$150,"$15,000","$12,750 "
448,10,2019/4/5,100,$120,"$12,000","$10,200 "
448,2,2019/4/5,50,$120,"$6,000","$5,100 "
470,2,2019/4/5,9,$228,"$2,052","$1,744 "
365,2,2019/4/5,3,"$6,480","$19,440","$16,524 "
364,2,2019/4/5,2,"$6,480","$12,960","$11,016 "
364,112,2019/4/6,20,"$6,480","$129,600","$110,160 "
468,112,2019/4/6,100,$228,"$22,800","$19,380 "
447,112,2019/4/6,2,$150,$300,$255 
469,112,2019/4/6,7,$228,"$1,596","$1,357 "
448,112,2019/4/6,7,$120,$840,$714 
470,112,2019/4/6,30,$228,"$6,840","$5,814 "
468,283,2019/4/6,120,$228,"$27,360","$23,256 "
447,283,2019/4/6,150,$150,"$22,500","$19,125 "
470,283,2019/4/6,2,$228,$456,$388 
469,283,2019/4/6,135,$228,"$30,780","$26,163 "
448,283,2019/4/6,12,$120,"$1,440","$1,224 "
469,294,2019/4/6,2,$228,$456,$388 
470,294,2019/4/6,15,$220,"$3,300","$2,805 "
468,294,2019/4/6,60,$228,"$13,680","$11,628 "
470,12,2019/4/6,150,$228,"$34,200","$29,070 "
469,12,2019/4/6,75,$228,"$17,100","$14,535 "
468,12,2019/4/6,30,$228,"$6,840","$5,814 "
470,1,2019/4/6,7,$228,"$1,596","$1,357 "
364,294,2019/4/6,15,"$6,480","$97,200","$82,620 "
365,294,2019/4/6,9,"$6,480","$58,320","$49,572 "
365,112,2019/4/6,7,"$6,480","$45,360","$38,556 "
365,283,2019/4/6,7,"$6,480","$45,360","$38,556 "
364,283,2019/4/6,1,"$6,480","$6,480","$5,508 "
448,134,2019/4/7,100,$120,"$12,000","$10,200 "
447,134,2019/4/7,100,$150,"$15,000","$12,750 "
447,259,2019/4/8,250,$150,"$37,500","$31,875 "
448,259,2019/4/8,50,$120,"$6,000","$5,100 "
469,12,2019/4/9,255,$209,"$53,295","$45,301 "
448,8,2019/4/9,250,$120,"$30,000","$25,500 "
447,2,2019/4/9,150,$150,"$22,500","$19,125 "
468,9,2019/4/9,45,$228,"$10,260","$8,721 "
470,1,2019/4/9,3,$190,$570,$485 
364,11,2019/4/9,31,"$6,480","$200,880","$170,748 "
365,10,2019/4/9,1,"$6,480","$6,480","$5,508 "
468,123,2019/4/10,15,$228,"$3,420","$2,907 "
470,123,2019/4/10,12,$220,"$2,640","$2,244 "
469,260,2019/4/10,30,$228,"$6,840","$5,814 "
470,260,2019/4/10,14,$220,"$3,080","$2,618 "
365,260,2019/4/10,5,"$6,480","$32,400","$27,540 "
364,260,2019/4/10,4,"$6,480","$25,920","$22,032 "
468,288,2019/4/11,30,$228,"$6,840","$5,814 "
470,288,2019/4/11,9,$228,"$2,052","$1,744 "
469,288,2019/4/11,60,$228,"$13,680","$11,628 "
469,11,2019/4/11,210,$220,"$46,200","$39,270 "
448,11,2019/4/11,350,$120,"$42,000","$35,700 "
448,9,2019/4/11,350,$120,"$42,000","$35,700 "
468,11,2019/4/11,90,$228,"$20,520","$17,442 "
469,8,2019/4/11,90,$228,"$20,520","$17,442 "
447,10,2019/4/11,100,$150,"$15,000","$12,750 "
468,6,2019/4/11,30,$228,"$6,840","$5,814 "
469,8,2019/4/11,30,$228,"$6,840","$5,814 "
470,11,2019/4/11,28,$190,"$5,320","$4,522 "
470,7,2019/4/11,6,$228,"$1,368","$1,163 "
365,11,2019/4/11,6,"$6,264","$37,584","$31,946 "
365,11,2019/4/11,3,"$6,480","$19,440","$16,524 "
364,11,2019/4/11,2,"$6,480","$12,960","$11,016 "
447,290,2019/4/12,50,$150,"$7,500","$6,375 "
448,290,2019/4/12,250,$120,"$30,000","$25,500 "
469,290,2019/4/12,60,$228,"$13,680","$11,628 "
470,290,2019/4/12,2,$228,$456,$388 
365,290,2019/4/12,2,"$6,480","$12,960","$11,016 "
364,290,2019/4/12,1,"$6,480","$6,480","$5,508 "
470,9,2019/4/16,7,$228,"$1,596","$1,357 "
469,11,2019/4/16,1,$228,$228,$194 
364,10,2019/4/16,75,"$6,480","$486,000","$413,100 "
364,12,2019/4/16,2,"$6,480","$12,960","$11,016 "
365,12,2019/4/16,2,"$6,480","$12,960","$11,016 "
448,112,2019/4/17,200,$120,"$24,000","$20,400 "
447,112,2019/4/17,200,$150,"$30,000","$25,500 "
448,7,2019/4/17,200,$120,"$24,000","$20,400 "
468,262,2019/4/19,15,$228,"$3,420","$2,907 "
